id,created_by,last_modified_by,address1,address2,city,country,date_of_birth,district,first_name,joining_date,last_name,middle_name,pincode,primary_phone,secondary_phone,state,type,school_id,user_id,staff_id
1,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,10/10/1979,Ranga Reddy district,Dhiraj,2016-10-10,,Kumar,500084,8688327413,,Telangana,Teacher,1,5,DHI_STAFF_ID_01
2,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,10/10/1979,Ranga Reddy district,Satya,2016-10-10,Teja,Random,500084,8310103202,,Telangana,Teacher,1,6,TEJ_STAFF_ID_02
3,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,10/10/1979,Ranga Reddy district,Kishore ,2016-05-01,Kumar,Reddy,500084,9491022335,,Telangana,Teacher,1,7,KISH_STAFF_ID_03
4,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Kishore,2016-05-01,Kumar,Admin,500084,9491022335,,Telangana,Teacher,1,8,KISH_ADMINSTAFF_ID_04
5,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Asha,2016-05-01,Shalini,R,500084,9000000112,,Telangana,Teacher,1,9,STAFF_ID_05
6,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Reshma,2016-05-01,Chatterji,,500084,9000000112,,Telangana,Teacher,1,10,STAFF_ID_06
7,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Pushkar,2016-05-01,Priyank,,500084,9000000112,,Telangana,Teacher,1,11,STAFF_ID_07
8,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Priyanka,2016-05-01,Jain,,500084,9000000112,,Telangana,Teacher,1,12,STAFF_ID_08
9,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Prema,2016-05-01,Swaroop,,500084,9000000112,,Telangana,Teacher,1,13,STAFF_ID_09
10,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Ajit,2016-05-01,Agrawal,Kumar,500084,9000000112,,Telangana,Teacher,1,14,STAFF_ID_10
