id,created_by,last_modified_by,address1,address2,adhaar_no,birth_place,blood_group,category,city,country,date_of_birth,district,first_name,gender,identification_mark1,identification_mark2,last_name,middle_name,mother_tongue,nationality,pincode,previous_school_address,previous_school_standard,previous_school_name,registered_mobile_number,religion,state,sub_caste,school_id,user_id,admission_id
1,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Dhiraj,MALE,mole on right hand,mole on left hand,Student,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,8688327413,Hindu,AP,A,1,67,DHI_STUDENT_ID_01
2,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Satya,MALE,mole on right hand,mole on left hand,Student,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,8310103202,Hindu,AP,A,1,68,TEJ_STUDENT_ID_02
3,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Kishore,MALE,mole on right hand,mole on left hand,Student,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9491022335,Hindu,AP,A,1,69,KISH_STUDENT_ID_03
4,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud11A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,70,STUDENT_ID_04
5,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud11B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,71,STUDENT_ID_05
6,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud11B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,72,STUDENT_ID_06
7,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud11B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,73,STUDENT_ID_07
8,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud11B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,74,STUDENT_ID_08
9,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,75,STUDENT_ID_09
10,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,76,STUDENT_ID_10
