id;login;password_hash;first_name;last_name;type;email;image_url;activated;lang_key;activation_key;reset_key;created_by;last_modified_by
1;system;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;System;System;STAFF;system@localhost;;True;en;;;system;system
2;admin;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Witcurve;Administrator;STAFF;admin@localhost;;True;en;;;system;system
3;staff;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Teaching;Staff;STAFF;staff@localhost;;True;en;;;system;system
4;guardian;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Parent;Guardian;PARENT;guardian@localhost;;True;en;;;system;system
5;dhi_staff_id_01;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Dhiraj;Staff;STAFF;dhiraj.iit1014@gmail.com;;True;en;;;staff;staff
6;tej_staff_id_02;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Satya ;Staff;STAFF;satyateja.a@gmail.com;;True;en;;;staff;staff
7;kish_staff_id_03;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Kishore;Staff;STAFF;ramakishore5527@gmail.com;;True;en;;;staff;staff
8;kish_adminstaff_id_04;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Kishore;Admin;STAFF;ramkishore1401@gmail.com;;True;en;;;staff;staff
9;staff_id_05;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Asha;Shalini;STAFF;random2@random;;True;en;;;staff;staff
10;staff_id_06;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Reshma;Chatterji;STAFF;random3@random;;True;en;;;staff;staff
11;staff_id_07;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Pushkar;Priyank;STAFF;random4@random;;True;en;;;staff;staff
12;staff_id_08;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Priyanka;Jain;STAFF;random5@random;;True;en;;;staff;staff
13;staff_id_09;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Prema;Swaroop;STAFF;random6@random;;True;en;;;staff;staff
14;staff_id_10;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Ajit;Agrawal;STAFF;random7@random;;True;en;;;staff;staff
15;staff_id_11;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Suyash;Burnwal;STAFF;random8@random;;True;en;;;staff;staff
16;staff_id_12;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Ramdas;Bhawani;STAFF;random9@random;;True;en;;;staff;staff
17;staff_id_13;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Reena;Bhawe;STAFF;random10@random;;True;en;;;staff;staff
18;staff_id_14;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Sana;Mallick;STAFF;random11@random;;True;en;;;staff;staff
19;staff_id_15;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Ajay;Srivastava;STAFF;random12@random;;True;en;;;staff;staff
20;staff_id_16;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Prakhar;Dhar;STAFF;random13@random;;True;en;;;staff;staff
21;staff_id_17;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Ramavtar;Qureshi;STAFF;random14@random;;True;en;;;staff;staff
22;staff_id_18;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Parwati;Panda;STAFF;random15@random;;True;en;;;staff;staff
23;staff_id_19;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Naveen;Chandravanshi;STAFF;random16@random;;True;en;;;staff;staff
24;staff_id_20;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Neeraj;Kumar;STAFF;random17@random;;True;en;;;staff;staff
25;staff_id_21;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Rajesh;Cherukuri;STAFF;random18@random;;True;en;;;staff;staff
26;staff_id_22;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Mayank;Manish;STAFF;random19@random;;True;en;;;staff;staff
27;staff_id_23;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Piyush;Pranay;STAFF;random20@random;;True;en;;;staff;staff
28;staff1id_24;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Prabhakar;Misra;STAFF;random21@random;;True;en;;;staff;staff
29;staff_id_25;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Ankit;Berlia;STAFF;random22@random;;True;en;;;staff;staff
30;staff_id_26;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Shreyas;Nivas;STAFF;random23@random;;True;en;;;staff;staff
31;staff_id_27;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Aaron;Mendonca;STAFF;random24@random;;True;en;;;staff;staff
32;staff_id_28;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Alex;Avarachan;STAFF;random25@random;;True;en;;;staff;staff
33;staff_id_29;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Aakash;Kedia;STAFF;random26@random;;True;en;;;staff;staff
34;staff_id_30;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Satya;Reddy;STAFF;random27@random;;True;en;;;staff;staff
35;staff_id_31;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Krishna;Apte;STAFF;random28@random;;True;en;;;staff;staff
36;staff_id_32;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Pragya;Gupta;STAFF;random29@random;;True;en;;;staff;staff
37;staff_id_33;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Prerna;Agarwal;STAFF;random30@random;;True;en;;;staff;staff
38;staff_id_34;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Prakhar;Utsav;STAFF;random31@random;;True;en;;;staff;staff
39;staff_id_35;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Gita;Mishra;STAFF;random32@random;;True;en;;;staff;staff
40;staff_id_36;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Sunil;Kalakaar;STAFF;random33@random;;True;en;;;staff;staff
41;staff_id_37;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Anupam;Malya;STAFF;random34@random;;True;en;;;staff;staff
42;staff_id_38;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Prateek;Singhal;STAFF;random35@random;;True;en;;;staff;staff
43;staff_id_39;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Raunak;Sarda;STAFF;random36@random;;True;en;;;staff;staff
44;staff_id_40;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Rahul;Saxena;STAFF;random37@random;;True;en;;;staff;staff
45;staff_id_41;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Keshav;Modi;STAFF;random38@random;;True;en;;;staff;staff
46;staff_id_42;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Rahul;Mehta;STAFF;random39@random;;True;en;;;staff;staff
47;staff_id_43;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Devendra;Gupta;STAFF;random40@random;;True;en;;;staff;staff
48;staff_id_44;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Dhiraj;Kumar;STAFF;random41@random;;True;en;;;staff;staff
49;staff_id_45;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Kedar;Badnikar;STAFF;random42@random;;True;en;;;staff;staff
50;staff_id_46;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Soumyajit;Behra;STAFF;random43@random;;True;en;;;staff;staff
